code,name,naver_label
478440,미래에셋비전스팩6호,기업인수목적회사(SPAC)
479880,한국제15호스팩,기업인수목적회사(SPAC)
481890,엔에이치스팩31호,기업인수목적회사(SPAC)
482680,미래에셋비전스팩7호,기업인수목적회사(SPAC)
482690,대신밸런스제19호스팩,기업인수목적회사(SPAC)
484130,하나34호스팩,기업인수목적회사(SPAC)
487360,신한제14호스팩,기업인수목적회사(SPAC)
487720,키움제10호스팩,기업인수목적회사(SPAC)
488060,유진스팩11호,기업인수목적회사(SPAC)
489210,교보17호스팩,기업인수목적회사(SPAC)
493790,유안타제17호스팩,기업인수목적회사(SPAC)
446150,유안타제12호스팩,기업인수목적회사(SPAC)
450940,유안타제14호스팩,기업인수목적회사(SPAC)
451700,엔에이치스팩29호,기업인수목적회사(SPAC)
452670,상상인제4호스팩,기업인수목적회사(SPAC)
455250,KB제25호스팩,기업인수목적회사(SPAC)
455310,한화플러스제4호스팩,기업인수목적회사(SPAC)
000041,교보18호스팩,기업인수목적회사(SPAC)
000004,디비금융제14호스팩,기업인수목적회사(SPAC)
457630,대신밸런스제16호스팩,기업인수목적회사(SPAC)
457940,에스케이증권제10호스팩,기업인수목적회사(SPAC)
458610,한국제12호스팩,기업인수목적회사(SPAC)
462020,에이치엠씨제6호스팩,기업인수목적회사(SPAC)
464680,KB제27호스팩,기업인수목적회사(SPAC)
465320,교보15호스팩,기업인수목적회사(SPAC)
466910,엔에이치스팩30호,기업인수목적회사(SPAC)
467930,IBKS제23호스팩,기업인수목적회사(SPAC)
000037,KB제32호스팩,기업인수목적회사(SPAC)
000044,삼성스팩10호,기업인수목적회사(SPAC)
000072,KB제33호스팩,기업인수목적회사(SPAC)
498390,한화플러스제5호스팩,기업인수목적회사(SPAC)
473000,에스케이증권제12호스팩,기업인수목적회사(SPAC)
455910,에스케이증권제9호스팩,기업인수목적회사(SPAC)
454640,하나29호스팩,기업인수목적회사(SPAC)
452980,신한제11호스팩,기업인수목적회사(SPAC)
477380,미래에셋비전스팩4호,기업인수목적회사(SPAC)
477470,미래에셋비전스팩5호,기업인수목적회사(SPAC)
478390,KB제29호스팩,기업인수목적회사(SPAC)
448830,미래에셋비전스팩3호,기업인수목적회사(SPAC)
450050,하이제8호스팩,기업인수목적회사(SPAC)
486630,KB제30호스팩,기업인수목적회사(SPAC)
487830,신한제15호스팩,기업인수목적회사(SPAC)
473950,에스케이증권제13호스팩,기업인수목적회사(SPAC)
489480,키움제11호스팩,기업인수목적회사(SPAC)
489730,디비금융제13호스팩,기업인수목적회사(SPAC)
496070,신한제16호스팩,기업인수목적회사(SPAC)
492220,KB제31호스팩,기업인수목적회사(SPAC)
482520,교보16호스팩,기업인수목적회사(SPAC)
456490,교보14호스팩,기업인수목적회사(SPAC)
478780,대신밸런스제18호스팩,기업인수목적회사(SPAC)
448760,IBKS제22호스팩,기업인수목적회사(SPAC)
000810,삼성화재,손해보험
001450,현대해상,손해보험
003690,코리안리,손해보험
000370,한화손해보험,손해보험
031210,서울보증보험,손해보험
005830,DB손해보험,손해보험
000540,흥국화재,손해보험
000400,롯데손해보험,손해보험
025870,신라에스지,수산
030720,동원수산,수산
011150,CJ씨푸드,수산
006040,동원산업,수산
004970,신라교역,수산
006090,사조오양,수산
003680,한성기업,수산
014710,사조씨푸드,수산
003960,사조대림,수산
007160,사조산업,수산
002870,신풍,제지
001810,무림SP,제지
009580,무림P&P,제지
027970,한국제지,제지
213500,한솔제지,제지
002310,아세아제지,제지
001020,페이퍼코리아,제지
009770,삼정펄프,제지
078130,국일제지,제지
004540,깨끗한나라,제지
009200,무림페이퍼,제지
002200,한국수출포장,제지
009460,한창제지,제지
034810,해성산업,제지
900300,오가닉티코스메틱,화장품
123690,한국화장품,화장품
002790,아모레퍼시픽홀딩스,화장품
027050,코리아나,화장품
451250,삐아,화장품
900310,컬러레이,화장품
214420,토니모리,화장품
241710,코스메카코리아,화장품
362320,청담글로벌,화장품
439090,마녀공장,화장품
090430,아모레퍼시픽,화장품
025620,제이준코스메틱,화장품
003350,한국화장품제조,화장품
142760,모아라이프플러스,화장품
900270,헝셩그룹,화장품
192820,코스맥스,화장품
226340,본느,화장품
021240,코웨이,화장품
950140,잉글우드랩,화장품
278470,에이피알,화장품
016100,리더스코스메틱,화장품
260930,씨티케이,화장품
226320,잇츠한불,화장품
018250,애경산업,화장품
024720,콜마홀딩스,화장품
298060,에스씨엠생명과학,화장품
252500,세화피앤씨,화장품
051900,LG생활건강,화장품
257720,실리콘투,화장품
377220,프롬바이오,화장품
471820,셀로맥스사이언스,화장품
092730,네오팜,화장품
219550,디와이디,화장품
006620,동구바이오제약,화장품
049830,승일,화장품
200130,콜마비앤에이치,화장품
161890,한국콜마,화장품
078520,에이블씨엔씨,화장품
086710,선진뷰티사이언스,화장품
031430,신세계인터내셔날,화장품
101240,씨큐브,화장품
078140,대봉엘에스,화장품
114840,아이패밀리에스씨,화장품
192440,슈피겐코리아,화장품
053980,오상자이엘,화장품
048410,현대바이오,화장품
352480,씨앤씨인터내셔널,화장품
123330,제닉,화장품
265740,엔에프씨,화장품
052260,현대바이오랜드,화장품
406820,뷰티스킨,화장품
237880,클리오,화장품
168330,내츄럴엔도텍,화장품
453860,에이에스텍,화장품
002840,미원상사,화장품
251970,펌텍코리아,화장품
462310,뉴키즈온,화장품
420570,제이투케이바이오,화장품
347740,피엔케이피부임상연구센타,화장품
214260,라파스,화장품
064090,인크레더블버즈,화장품
080530,코디,화장품
018700,바른손,화장품
019660,글로본,화장품
483650,달바글로벌,화장품
214450,파마리서치,화장품
002720,국제약품,화장품
007390,네이처셀,화장품
159580,제로투세븐,화장품
318160,셀바이오휴먼텍,화장품
460870,에스엠씨지,화장품
227610,아우딘퓨쳐스,화장품
137940,넥스트아이,화장품
214150,클래시스,화장품
225430,케이엠제약,화장품
