종목명,현재가,전일비,등락률,거래량,거래대금,market,code
LS ELECTRIC,"478,500","상승6,000",+1.27%,"129,518",,KOSPI,010120
삼성에피스홀딩스,"549,000","상승107,000",+24.21%,"3,737,086",,KOSPI,0126Z0
KT,"53,000","상승2,400",+4.74%,"546,079",,KOSPI,030200
삼성에스디에스,"172,100","상승1,300",+0.76%,"161,188",,KOSPI,018260
현대글로비스,"169,900",상승500,+0.30%,"85,756",,KOSPI,086280
미래에셋증권,"22,250",상승500,+2.30%,"4,418,719",,KOSPI,006800
하이브,"296,000","하락2,000",-0.67%,"90,371",,KOSPI,352820
LG,"81,400","상승1,400",+1.75%,"244,767",,KOSPI,003550
크래프톤,"252,000","하락1,000",-0.40%,"44,587",,KOSPI,259960
TIGER 미국S&P500,"24,950",상승135,+0.54%,"4,296,687",,KOSPI,360750
한미반도체,"121,500","상승1,000",+0.83%,"840,707",,KOSPI,042700
SK텔레콤,"53,900",상승500,+0.94%,"563,915",,KOSPI,017670
KODEX 200,"57,295",상승620,+1.09%,"8,953,645",,KOSPI,069500
SK바이오팜,"135,500","상승1,000",+0.74%,"133,393",,KOSPI,326030
카카오뱅크,"21,950",보합0,0.00%,"647,487",,KOSPI,323410
한국항공우주,"107,300","상승1,900",+1.80%,"356,691",,KOSPI,047810
이수페타시스,"139,700","상승2,100",+1.53%,"1,247,399",,KOSPI,007660
삼양식품,"1,334,000","상승2,000",+0.15%,"26,440",,KOSPI,003230
포스코인터내셔널,"55,200",하락400,-0.72%,"203,848",,KOSPI,047050
유한양행,"119,400",하락600,-0.50%,"209,763",,KOSPI,000100
에이피알,"245,000","하락2,500",-1.01%,"400,200",,KOSPI,278470
한국금융지주,"164,500","상승1,800",+1.11%,"186,696",,KOSPI,071050
S-Oil,"80,900",상승100,+0.12%,"208,647",,KOSPI,010950
DB손해보험,"127,400",하락100,-0.08%,"119,415",,KOSPI,005830
HD현대미포,"223,000",보합0,0.00%,0,,KOSPI,010620
한화시스템,"46,800","상승1,250",+2.74%,"844,078",,KOSPI,272210
KODEX CD금리액티브(합성),"1,073,625",상승85,+0.01%,"156,109",,KOSPI,459580
KODEX 머니마켓액티브,"104,335",상승5,0.00%,"579,957",,KOSPI,488770
HD현대마린솔루션,"187,800","상승6,100",+3.36%,"109,149",,KOSPI,443060
대한항공,"22,400",상승300,+1.36%,"1,031,263",,KOSPI,003490
LIG넥스원,"374,500","상승10,000",+2.74%,"73,923",,KOSPI,079550
현대건설,"70,500","상승4,600",+6.98%,"3,658,332",,KOSPI,000720
한국타이어앤테크놀로지,"63,200","상승1,900",+3.10%,"312,559",,KOSPI,161390
키움증권,"286,500","상승8,500",+3.06%,"108,887",,KOSPI,039490
NH투자증권,"21,200",상승50,+0.24%,"480,780",,KOSPI,005940
아모레퍼시픽,"125,200",상승400,+0.32%,"92,430",,KOSPI,090430
삼성증권,"81,700","상승1,000",+1.24%,"409,339",,KOSPI,016360
한진칼,"108,900","상승5,500",+5.32%,"85,043",,KOSPI,180640
TIGER 미국나스닥100,"166,700","상승1,995",+1.21%,"364,923",,KOSPI,133690
현대차2우B,"196,900","하락1,000",-0.51%,"57,515",,KOSPI,005387
카카오페이,"49,250",상승750,+1.55%,"363,405",,KOSPI,377300
KODEX 미국S&P500,"22,855",상승125,+0.55%,"3,006,663",,KOSPI,379800
LG유플러스,"15,240",상승80,+0.53%,"670,334",,KOSPI,032640
LG이노텍,"271,000","상승23,000",+9.27%,"392,072",,KOSPI,011070
LG디스플레이,"12,790",상승280,+2.24%,"1,487,272",,KOSPI,034220
삼성카드,"54,400",하락700,-1.27%,"55,426",,KOSPI,029780
코웨이,"86,400","하락2,500",-2.81%,"205,811",,KOSPI,021240
한화,"81,600","상승1,300",+1.62%,"174,387",,KOSPI,000880
현대오토에버,"222,500","하락11,000",-4.71%,"201,906",,KOSPI,307950
LS,"180,200","상승6,100",+3.50%,"151,459",,KOSPI,006260
LG씨엔에스,"58,800",상승800,+1.38%,"689,139",,KOSPI,064400
두산밥캣,"59,300","상승2,800",+4.96%,"497,000",,KOSPI,241560
맥쿼리인프라,"11,720",하락10,-0.09%,"723,305",,KOSPI,088980
한미약품,"434,000","상승4,000",+0.93%,"72,583",,KOSPI,128940
CJ,"187,800","상승11,300",+6.40%,"224,069",,KOSPI,001040
GS,"58,500",상승900,+1.56%,"193,226",,KOSPI,078930
TIGER CD금리투자KIS(합성),"56,780",상승10,+0.02%,"122,242",,KOSPI,357870
삼성E&A,"26,000",상승350,+1.36%,"438,433",,KOSPI,028050
엘앤에프,"126,900","하락2,200",-1.70%,"404,591",,KOSPI,066970
두산로보틱스,"76,700",상승900,+1.19%,"187,336",,KOSPI,454910
BNK금융지주,"15,600",하락20,-0.13%,"1,060,846",,KOSPI,138930
한화솔루션,"27,950",상승350,+1.27%,"449,457",,KOSPI,009830
JB금융지주,"24,900",하락650,-2.54%,"332,376",,KOSPI,175330
엔씨소프트,"216,000","상승7,000",+3.35%,"130,344",,KOSPI,036570
넷마블,"53,500",상승500,+0.94%,"84,300",,KOSPI,251270
현대차우,"193,900",하락600,-0.31%,"64,041",,KOSPI,005385
산일전기,"147,800","하락1,000",-0.67%,"265,661",,KOSPI,062040
KODEX 미국나스닥100,"25,010",상승300,+1.21%,"1,705,954",,KOSPI,379810
TIGER 200,"57,360",상승635,+1.12%,"2,988,944",,KOSPI,102110
대한전선,"22,950",상승150,+0.66%,"2,782,559",,KOSPI,001440
SK바이오사이언스,"54,500","상승1,500",+2.83%,"110,058",,KOSPI,302440
LG생활건강,"276,500",상승500,+0.18%,"30,638",,KOSPI,051900
SKC,"111,600","상승1,100",+1.00%,"109,032",,KOSPI,011790
에코프로머티,"60,000",하락200,-0.33%,"127,668",,KOSPI,450080
KODEX KOFR금리액티브(합성),"110,655",상승5,0.00%,"323,389",,KOSPI,423160
TIGER 미국테크TOP10 INDXX,"31,705",상승270,+0.86%,"2,246,365",,KOSPI,381170
오리온,"104,500",상승500,+0.48%,"129,396",,KOSPI,271560
현대제철,"30,400",하락50,-0.16%,"247,064",,KOSPI,004020
포스코DX,"26,400",하락200,-0.75%,"382,715",,KOSPI,022100
영원무역,"90,300","하락3,100",-3.32%,"96,109",,KOSPI,111770
KCC,"437,000","상승16,500",+3.92%,"52,910",,KOSPI,002380
강원랜드,"18,120",하락30,-0.17%,"216,050",,KOSPI,035250
한국가스공사,"41,700",상승300,+0.72%,"140,644",,KOSPI,036460
KODEX 200TR,"20,585",상승235,+1.15%,"1,070,080",,KOSPI,278530
KODEX 레버리지,"42,600",상승965,+2.32%,"23,731,262",,KOSPI,122630
한전기술,"95,200","상승5,100",+5.66%,"208,250",,KOSPI,052690
한화엔진,"43,600",상승850,+1.99%,"634,339",,KOSPI,082740
현대엘리베이터,"91,400","상승4,100",+4.70%,"466,215",,KOSPI,017800
서울보증보험,"50,600",하락100,-0.20%,"54,563",,KOSPI,031210
KODEX 종합채권(AA-이상)액티브,"115,730",하락265,-0.23%,"81,986",,KOSPI,273130
ACE KRX금현물,"28,020",하락70,-0.25%,"1,816,903",,KOSPI,411060
TIGER 머니마켓액티브,"101,010",상승10,+0.01%,"79,614",,KOSPI,0043B0
TIGER 미국필라델피아반도체나스닥,"27,780",상승695,+2.57%,"1,595,166",,KOSPI,381180
CJ제일제당,"213,500","상승4,500",+2.15%,"65,313",,KOSPI,097950
롯데케미칼,"74,500",상승100,+0.13%,"106,012",,KOSPI,011170
금호석유화학,"119,500",상승200,+0.17%,"43,363",,KOSPI,011780
롯데지주,"27,850",상승500,+1.83%,"249,806",,KOSPI,004990
ACE 미국S&P500,"25,205",상승135,+0.54%,"848,164",,KOSPI,360200
에스원,"76,100",상승800,+1.06%,"36,503",,KOSPI,012750
더존비즈온,"94,000",하락500,-0.53%,"123,052",,KOSPI,012510
DB하이텍,"65,600",상승600,+0.92%,"292,909",,KOSPI,000990
F&F,"74,500",상승100,+0.13%,"96,807",,KOSPI,383220
대한조선,"73,400","상승1,300",+1.80%,"492,707",,KOSPI,439260
풍산,"100,500","상승1,000",+1.01%,"84,310",,KOSPI,103140
HD현대마린엔진,"82,700","상승2,800",+3.50%,"305,878",,KOSPI,071970
HD현대인프라코어,"14,780",상승70,+0.48%,"727,522",,KOSPI,042670
한솔케미칼,"246,000",상승500,+0.20%,"49,131",,KOSPI,014680
한올바이오파마,"52,500",하락300,-0.57%,"791,918",,KOSPI,009420
동서,"27,500",상승350,+1.29%,"96,676",,KOSPI,026960
현대해상,"30,600",상승150,+0.49%,"328,558",,KOSPI,001450
한국앤컴퍼니,"28,650",상승200,+0.70%,"162,016",,KOSPI,000240
한화생명,"3,110",하락20,-0.64%,"1,140,217",,KOSPI,088350
TIGER MSCI Korea TR,"24,615",상승250,+1.03%,"7,514",,KOSPI,310970
미스토홀딩스,"44,900",상승450,+1.01%,"105,802",,KOSPI,081660
TIGER KOFR금리액티브(합성),"109,635",상승10,+0.01%,"81,390",,KOSPI,449170
KODEX CD1년금리플러스액티브(합성),"1,021,775",상승70,+0.01%,"7,495",,KOSPI,481050
농심,"434,500",하락500,-0.11%,"18,781",,KOSPI,004370
제일기획,"22,650",보합0,0.00%,"265,544",,KOSPI,030000
일진전기,"54,200",상승600,+1.12%,"328,276",,KOSPI,103590
한미사이언스,"37,300",상승300,+0.81%,"85,407",,KOSPI,008930
한온시스템,"3,690",하락5,-0.14%,"2,504,012",,KOSPI,018880
ACE 미국나스닥100,"28,660",상승345,+1.22%,"931,093",,KOSPI,367380
영원무역홀딩스,"182,900","상승1,700",+0.94%,"14,643",,KOSPI,009970
대덕전자,"49,900","상승2,400",+5.05%,"1,504,617",,KOSPI,353200
HL만도,"52,200","상승1,400",+2.76%,"1,186,343",,KOSPI,204320
RISE 머니마켓액티브,"54,935",보합0,0.00%,"237,199",,KOSPI,455890
신영증권,"146,800","상승5,100",+3.60%,"33,213",,KOSPI,001720
한전KPS,"53,500",상승600,+1.13%,"106,360",,KOSPI,051600
SK아이이테크놀로지,"29,400",하락150,-0.51%,"88,438",,KOSPI,361610
신세계,"248,500","상승10,000",+4.19%,"111,360",,KOSPI,004170
iM금융지주,"14,540",하락50,-0.34%,"435,443",,KOSPI,139130
팬오션,"4,330",하락50,-1.14%,"10,791,345",,KOSPI,028670
이마트,"83,100",상승900,+1.09%,"236,226",,KOSPI,139480
CJ대한통운,"100,500","상승7,100",+7.60%,"241,533",,KOSPI,000120
아모레퍼시픽홀딩스,"28,600",상승500,+1.78%,"129,640",,KOSPI,002790
코리안리,"11,650",상승30,+0.26%,"239,807",,KOSPI,003690
시프트업,"38,350",하락200,-0.52%,"35,111",,KOSPI,462870
SK가스,"244,000","상승5,500",+2.31%,"11,376",,KOSPI,018670
ACE 미국30년국채액티브(H),"7,800",하락5,-0.06%,"1,758,042",,KOSPI,453850
TIGER 미국배당다우존스,"12,755",하락20,-0.16%,"775,910",,KOSPI,458730
효성,"133,000","상승4,800",+3.74%,"46,789",,KOSPI,004800
현대백화점,"98,100",하락400,-0.41%,"128,957",,KOSPI,069960
롯데에너지머티리얼즈,"42,250",보합0,0.00%,"318,155",,KOSPI,020150
한화비전,"43,550",상승100,+0.23%,"255,340",,KOSPI,489790
두산우,"545,000","상승21,000",+4.01%,"21,085",,KOSPI,000155
RISE 200,"57,750",상승610,+1.07%,"1,543,990",,KOSPI,148020
롯데쇼핑,"75,800","상승1,200",+1.61%,"97,985",,KOSPI,023530
두산퓨얼셀,"32,050",상승650,+2.07%,"425,287",,KOSPI,336260
대웅제약,"180,600",상승500,+0.28%,"32,667",,KOSPI,069620
동원산업,"46,450","상승2,100",+4.74%,"68,969",,KOSPI,006040
에스엘,"43,850","상승2,650",+6.43%,"431,280",,KOSPI,005850
HJ중공업,"22,400","하락1,100",-4.68%,"1,636,725",,KOSPI,097230
BGF리테일,"112,000",상승800,+0.72%,"27,802",,KOSPI,282330
KODEX 단기채권PLUS,"114,860",상승15,+0.01%,"57,544",,KOSPI,214980
OCI홀딩스,"103,300","상승1,700",+1.67%,"61,242",,KOSPI,010060
GS리테일,"22,850",상승250,+1.11%,"260,528",,KOSPI,007070
TIGER 반도체TOP10,"18,395",상승50,+0.27%,"3,353,967",,KOSPI,396500
SOL 조선TOP3플러스,"32,700",상승675,+2.11%,"1,119,837",,KOSPI,466920
코스맥스,"163,500",상승500,+0.31%,"36,552",,KOSPI,192820
호텔신라,"47,250",상승400,+0.85%,"103,229",,KOSPI,008770
KODEX 삼성그룹,"13,550",상승305,+2.30%,"685,514",,KOSPI,102780
PLUS 고배당주,"21,375",상승95,+0.45%,"826,636",,KOSPI,161510
금호타이어,"6,300",상승380,+6.42%,"1,584,932",,KOSPI,073240
씨에스윈드,"42,600",상승850,+2.04%,"137,155",,KOSPI,112610
롯데관광개발,"22,400","상승1,450",+6.92%,"2,652,057",,KOSPI,032350
현대위아,"63,500","상승1,800",+2.92%,"195,952",,KOSPI,011210
KODEX 코스닥150레버리지,"12,555",하락40,-0.32%,"18,681,476",,KOSPI,233740
다우기술,"37,750","상승1,000",+2.72%,"72,916",,KOSPI,023590
아시아나항공,"8,180",보합0,0.00%,"67,437",,KOSPI,020560
미래에셋생명,"9,470",상승120,+1.28%,"43,454",,KOSPI,085620
코스모신소재,"51,500","하락1,400",-2.65%,"279,461",,KOSPI,005070
파라다이스,"17,990",하락220,-1.21%,"1,419,327",,KOSPI,034230
RISE 종합채권(A-이상)액티브,"107,690",하락140,-0.13%,"1,608",,KOSPI,385540
HD현대건설기계,"95,400",상승500,+0.53%,"116,853",,KOSPI,267270
GS건설,"19,170",상승140,+0.74%,"214,375",,KOSPI,006360
KODEX 2차전지산업,"15,440",상승45,+0.29%,"1,612,685",,KOSPI,305720
TIGER 차이나전기차SOLACTIVE,"12,425",하락135,-1.07%,"652,431",,KOSPI,371460
녹십자,"138,000",상승500,+0.36%,"20,462",,KOSPI,006280
KODEX 200타겟위클리커버드콜,"13,315",상승130,+0.99%,"2,998,632",,KOSPI,498400
달바글로벌,"129,700","하락1,700",-1.29%,"64,267",,KOSPI,483650
SK리츠,"5,380",상승80,+1.51%,"482,410",,KOSPI,395400
이수스페셜티케미컬,"52,400",하락100,-0.19%,"94,232",,KOSPI,457190
KODEX 반도체,"57,530",상승480,+0.84%,"822,728",,KOSPI,091160
TIGER CD1년금리액티브(합성),"1,053,030",상승85,+0.01%,"11,356",,KOSPI,475630
오뚜기,"391,500","상승2,500",+0.64%,"4,480",,KOSPI,007310
DL이앤씨,"40,400",상승900,+2.28%,"301,865",,KOSPI,375500
한국콜마,"65,900",상승200,+0.30%,"73,718",,KOSPI,161890
LG화학우,"195,100","상승1,200",+0.62%,"23,910",,KOSPI,051915
대우건설,"3,560",상승90,+2.59%,"1,152,185",,KOSPI,047040
KODEX 200선물인버스2X,701,하락17,-2.37%,"790,347,919",,KOSPI,252670
KODEX 미국AI전력핵심인프라,"17,830",상승345,+1.97%,"955,188",,KOSPI,487230
DN오토모티브,"24,850",하락150,-0.60%,"90,901",,KOSPI,007340
한국카본,"27,700",하락150,-0.54%,"224,290",,KOSPI,017960
대신증권,"28,200",상승700,+2.55%,"268,452",,KOSPI,003540
대웅,"24,300",상승400,+1.67%,"86,362",,KOSPI,003090
미래에셋증권2우B,"10,180",상승30,+0.30%,"420,658",,KOSPI,00680K
SNT다이내믹스,"42,000","상승1,200",+2.94%,"57,881",,KOSPI,003570
STX엔진,"34,500",상승500,+1.47%,"418,918",,KOSPI,077970
KODEX 26-12 금융채(AA-이상)액티브,"9,995",하락5,-0.05%,"26,253",,KOSPI,0117L0
TIGER 코리아TOP10,"19,150",상승90,+0.47%,"692,279",,KOSPI,292150
RISE 미국S&P500,"21,795",상승115,+0.53%,"223,186",,KOSPI,379780
하이트진로,"18,950",상승90,+0.48%,"79,300",,KOSPI,000080
한일시멘트,"17,990",상승340,+1.93%,"73,313",,KOSPI,300720
TIGER 미국30년국채커버드콜액티브(H),"7,825",보합0,0.00%,"1,212,389",,KOSPI,476550
KODEX 코스닥150,"16,130",하락20,-0.12%,"6,999,379",,KOSPI,229200
현대지에프홀딩스,"8,360",상승250,+3.08%,"190,856",,KOSPI,005440
메리츠 KIS CD금리투자 ETN,"54,590",보합0,0.00%,0,,KOSPI,610063
RISE 미국나스닥100,"27,780",상승335,+1.22%,"227,705",,KOSPI,368590
RISE CD금리액티브(합성),"105,280",상승15,+0.01%,"3,438",,KOSPI,477080
HDC현대산업개발,"19,660",상승260,+1.34%,"242,988",,KOSPI,294870
영풍,"67,700",상승200,+0.30%,"26,777",,KOSPI,000670
지역난방공사,"110,400","상승4,300",+4.05%,"42,338",,KOSPI,071320
오리온홀딩스,"20,250",상승440,+2.22%,"92,628",,KOSPI,001800
하나 CD금리투자 ETN,"105,400",상승5,0.00%,"6,690",,KOSPI,700026
가온전선,"76,400",상승100,+0.13%,"45,611",,KOSPI,000500
SK케미칼,"72,600",상승600,+0.83%,"56,240",,KOSPI,285130
KIWOOM 200TR,"74,675",상승790,+1.07%,"373,305",,KOSPI,294400
LX인터내셔널,"32,200",상승250,+0.78%,"114,810",,KOSPI,001120
ACE 테슬라밸류체인액티브,"21,455",하락5,-0.02%,"664,622",,KOSPI,457480
코오롱인더,"45,000","상승2,100",+4.90%,"276,531",,KOSPI,120110
롯데칠성,"131,000","상승9,000",+7.38%,"48,297",,KOSPI,005300
롯데정밀화학,"46,950",상승350,+0.75%,"42,316",,KOSPI,004000
KODEX Top5PlusTR,"39,925",상승180,+0.45%,"31,991",,KOSPI,315930
종근당,"87,200",하락400,-0.46%,"26,632",,KOSPI,185750
KB발해인프라,"9,790",상승120,+1.24%,"175,037",,KOSPI,415640
RISE 단기특수은행채액티브,"50,550",하락5,-0.01%,"5,878",,KOSPI,0061Z0
삼성화재우,"382,000","상승2,000",+0.53%,"10,598",,KOSPI,000815
더블유게임즈,"54,800",상승300,+0.55%,"20,892",,KOSPI,192080
롯데리츠,"4,060",상승45,+1.12%,"326,708",,KOSPI,330590
롯데렌탈,"32,000",상승350,+1.11%,"18,269",,KOSPI,089860
TIGER 2차전지테마,"19,000",하락20,-0.11%,"594,317",,KOSPI,305540
에스디바이오센서,"9,450",상승50,+0.53%,"59,890",,KOSPI,137310
SK디스커버리,"62,600",상승200,+0.32%,"19,594",,KOSPI,006120
SK오션플랜트,"18,170",하락60,-0.33%,"339,608",,KOSPI,100090
롯데웰푸드,"122,000","상승1,000",+0.83%,"14,430",,KOSPI,280360
NHN,"33,600",보합0,0.00%,"45,762",,KOSPI,181710
PLUS K방산,"48,100","상승1,375",+2.94%,"645,926",,KOSPI,449450
엠앤씨솔루션,"121,900","하락3,000",-2.40%,"15,476",,KOSPI,484870
한샘,"46,950",상승650,+1.40%,"31,376",,KOSPI,009240
동양생명,"6,760",하락10,-0.15%,"60,996",,KOSPI,082640
ESR켄달스퀘어리츠,"4,430",상승80,+1.84%,"442,329",,KOSPI,365550
TIGER 차이나항셍테크,"8,985",하락135,-1.48%,"1,294,909",,KOSPI,371160
명인제약,"74,500",상승900,+1.22%,"101,438",,KOSPI,317450
교보증권,"9,520",상승210,+2.26%,"169,375",,KOSPI,030610
쿠쿠홀딩스,"30,400",상승400,+1.33%,"41,542",,KOSPI,192400
HDC,"17,910",상승200,+1.13%,"74,670",,KOSPI,012630
LS에코에너지,"34,900",상승250,+0.72%,"88,577",,KOSPI,229640
한화투자증권,"4,900",상승85,+1.77%,"1,403,034",,KOSPI,003530
TIMEFOLIO 글로벌AI인공지능액티브,"35,500",상승365,+1.04%,"235,927",,KOSPI,456600
TIGER 리츠부동산인프라,"4,470",상승30,+0.68%,"2,554,877",,KOSPI,329200
KODEX AI전력핵심설비,"23,500",상승520,+2.26%,"1,923,987",,KOSPI,487240
SK네트웍스,"4,720",상승50,+1.07%,"153,965",,KOSPI,001740
PLUS 200,"58,290",상승635,+1.10%,"241,541",,KOSPI,152100
ACE 미국빅테크TOP7 Plus,"23,580",상승175,+0.75%,"2,490,184",,KOSPI,465580
TIMEFOLIO 미국나스닥100액티브,"35,370",상승370,+1.06%,"293,348",,KOSPI,426030
파미셀,"17,250",상승790,+4.80%,"2,980,049",,KOSPI,005690
TIGER 미국나스닥100타겟데일리커버드콜,"10,900",상승95,+0.88%,"1,152,237",,KOSPI,486290
TIGER 25-12 금융채(AA-이상),"51,865",상승10,+0.02%,252,,KOSPI,494900
NICE평가정보,"17,180",상승50,+0.29%,"40,192",,KOSPI,030190
1Q 머니마켓액티브,"52,500",상승10,+0.02%,"26,366",,KOSPI,479080
TIGER 종합채권(AA-이상)액티브,"54,855",하락80,-0.15%,"7,635",,KOSPI,451540
세아베스틸지주,"28,250",상승550,+1.99%,"54,944",,KOSPI,001430
세진중공업,"17,730",하락70,-0.39%,"371,215",,KOSPI,075580
SOL 종합채권(AA-이상)액티브,"112,330",하락170,-0.15%,27,,KOSPI,436140
SOL 초단기채권액티브,"53,915",상승5,+0.01%,"126,117",,KOSPI,469830
GS피앤엘,"50,300","상승1,900",+3.93%,"180,490",,KOSPI,499790
TIGER 단기통안채,"110,540",하락10,-0.01%,"6,368",,KOSPI,157450
효성티앤씨,"226,000",상승500,+0.22%,"4,774",,KOSPI,298020
HANARO Fn K-반도체,"19,505",상승215,+1.11%,"4,041,759",,KOSPI,395270
키움 CD금리투자 ETN,"105,085",상승5,0.00%,"8,736",,KOSPI,760009
KODEX MSCI Korea TR,"19,565",상승250,+1.29%,"10,463",,KOSPI,278540
대한유화,"147,700","상승4,700",+3.29%,"42,191",,KOSPI,006650
SNT모티브,"35,950","상승3,650",+11.30%,"277,873",,KOSPI,064960
CJ CGV,"5,710",하락860,-13.09%,"3,462,328",,KOSPI,079160
세방전지,"67,100",상승200,+0.30%,"67,470",,KOSPI,004490
SNT홀딩스,"57,000",상승800,+1.42%,"39,543",,KOSPI,036530
GKL,"14,950",하락80,-0.53%,"172,370",,KOSPI,114090
해성디에스,"54,100",상승300,+0.56%,"188,745",,KOSPI,195870
일동제약,"28,900",상승700,+2.48%,"1,451,351",,KOSPI,249420
태광산업,"819,000","상승7,000",+0.86%,962,,KOSPI,003240
KODEX 미국배당커버드콜액티브,"12,820",상승10,+0.08%,"974,716",,KOSPI,441640
HS효성첨단소재,"199,900","상승4,100",+2.09%,"6,989",,KOSPI,298050
KODEX 미국30년국채타겟커버드콜(합성 H),"8,475",하락5,-0.06%,"947,540",,KOSPI,481060
TIGER KRX금현물,"13,385",하락30,-0.22%,"840,694",,KOSPI,0072R0
후성,"8,250",상승30,+0.36%,"686,445",,KOSPI,093370
코리아써키트,"37,200","상승3,100",+9.09%,"1,010,170",,KOSPI,007810
TIGER 미국배당다우존스타겟커버드콜2호,"9,900",하락15,-0.15%,"435,857",,KOSPI,458760
경동나비엔,"59,500",상승400,+0.68%,"36,782",,KOSPI,009450
TIGER 단기채권액티브,"55,950",보합0,0.00%,"10,812",,KOSPI,272580
LX세미콘,"52,200",상승700,+1.36%,"57,082",,KOSPI,108320
LG전자우,"49,200","상승1,200",+2.50%,"71,855",,KOSPI,066575
케이씨텍,"40,750",상승100,+0.25%,"45,899",,KOSPI,281820
ACE 종합채권(AA-이상)액티브,"104,840",하락135,-0.13%,"4,745",,KOSPI,356540
DL,"39,700",상승550,+1.40%,"52,587",,KOSPI,000210
KODEX 26-12 회사채(AA-이상)액티브,"10,875",하락5,-0.05%,"26,257",,KOSPI,473290
TIGER 미국30년국채스트립액티브(합성 H),"39,060",하락60,-0.15%,"109,193",,KOSPI,458250
F&F홀딩스,"21,100",상승700,+3.43%,"24,846",,KOSPI,007700
케이카,"16,850",상승260,+1.57%,"82,836",,KOSPI,381970
TIGER 미국필라델피아AI반도체나스닥,"15,920",상승235,+1.50%,"644,355",,KOSPI,497570
SNT에너지,"39,650",하락650,-1.61%,"180,018",,KOSPI,100840
TIGER 은행고배당플러스TOP10,"21,815",하락105,-0.48%,"751,478",,KOSPI,466940
프레스티지바이오파마,"13,510",상승90,+0.67%,"100,934",,KOSPI,950210
KODEX AI반도체,"16,885",상승20,+0.12%,"5,570,158",,KOSPI,395160
동원시스템즈,"27,600",상승150,+0.55%,"8,129",,KOSPI,014820
신풍제약,"15,050",상승250,+1.69%,"357,250",,KOSPI,019170
동아쏘시오홀딩스,"120,900","상승1,300",+1.09%,"17,496",,KOSPI,000640
TIGER 우량회사채액티브,"115,135",하락215,-0.19%,"25,496",,KOSPI,438330
