종목명,현재가,전일비,등락률,거래량,거래대금,market,code
두산퓨얼셀,"31,300",하락500,-1.57%,"494,387",,KOSPI,336260
동원산업,"43,950","하락1,550",-3.41%,"52,308",,KOSPI,006040
HJ중공업,"21,450",상승650,+3.13%,"1,315,776",,KOSPI,097230
KODEX 단기채권PLUS,"114,830",하락20,-0.02%,"24,780",,KOSPI,214980
OCI홀딩스,"101,200","하락2,900",-2.79%,"95,908",,KOSPI,010060
BGF리테일,"109,700","상승1,400",+1.29%,"33,825",,KOSPI,282330
에스엘,"40,300","하락1,100",-2.66%,"189,447",,KOSPI,005850
TIGER 반도체TOP10,"18,080",상승150,+0.84%,"3,338,491",,KOSPI,396500
코스맥스,"163,400","하락2,600",-1.57%,"46,691",,KOSPI,192820
GS리테일,"21,850",상승300,+1.39%,"155,845",,KOSPI,007070
KODEX 코스닥150레버리지,"12,590",상승405,+3.32%,"38,718,198",,KOSPI,233740
SOL 조선TOP3플러스,"31,620",하락870,-2.68%,"2,748,356",,KOSPI,466920
호텔신라,"46,200",상승700,+1.54%,"114,721",,KOSPI,008770
PLUS 고배당주,"20,865",상승40,+0.19%,"917,959",,KOSPI,161510
KODEX 삼성그룹,"13,115",상승50,+0.38%,"410,992",,KOSPI,102780
씨에스윈드,"40,600",하락850,-2.05%,"91,630",,KOSPI,112610
아시아나항공,"8,210",하락30,-0.36%,"51,315",,KOSPI,020560
파라다이스,"18,040",상승990,+5.81%,"1,919,620",,KOSPI,034230
미래에셋생명,"9,410",상승100,+1.07%,"58,766",,KOSPI,085620
TIGER 차이나전기차SOLACTIVE,"12,650",상승120,+0.96%,"721,232",,KOSPI,371460
RISE 종합채권(A-이상)액티브,"107,795",하락190,-0.18%,"1,451",,KOSPI,385540
코스모신소재,"50,600",상승950,+1.91%,"346,562",,KOSPI,005070
금호타이어,"5,670",하락190,-3.24%,"447,943",,KOSPI,073240
현대위아,"59,600","하락2,600",-4.18%,"166,960",,KOSPI,011210
달바글로벌,"131,200","하락3,800",-2.81%,"122,913",,KOSPI,483650
HD현대건설기계,"92,800","하락1,000",-1.07%,"98,452",,KOSPI,267270
GS건설,"18,820",하락500,-2.59%,"330,158",,KOSPI,006360
녹십자,"137,200","상승1,600",+1.18%,"28,344",,KOSPI,006280
KODEX 2차전지산업,"15,315",상승180,+1.19%,"3,171,392",,KOSPI,305720
이수스페셜티케미컬,"52,600",상승600,+1.15%,"142,368",,KOSPI,457190
다우기술,"35,400",하락450,-1.26%,"56,188",,KOSPI,023590
KODEX 200선물인버스2X,748,상승4,+0.54%,"851,106,964",,KOSPI,252670
롯데관광개발,"19,710",상승440,+2.28%,"1,450,934",,KOSPI,032350
SK리츠,"5,270",상승10,+0.19%,"263,144",,KOSPI,395400
오뚜기,"389,000",보합0,0.00%,"4,532",,KOSPI,007310
한국콜마,"65,400","하락1,300",-1.95%,"100,478",,KOSPI,161890
KODEX 200타겟위클리커버드콜,"12,950",하락30,-0.23%,"3,356,781",,KOSPI,498400
DL이앤씨,"39,600",하락650,-1.61%,"173,479",,KOSPI,375500
TIGER CD1년금리액티브(합성),"1,052,870",상승65,+0.01%,"21,797",,KOSPI,475630
KODEX 반도체,"56,145",상승485,+0.87%,"1,250,958",,KOSPI,091160
LG화학우,"191,900","상승1,000",+0.52%,"40,663",,KOSPI,051915
KODEX 미국AI전력핵심인프라,"17,875",하락45,-0.25%,"1,256,358",,KOSPI,487230
대우건설,"3,475",하락45,-1.28%,"590,125",,KOSPI,047040
DN오토모티브,"24,200",상승100,+0.41%,"85,034",,KOSPI,007340
미래에셋증권2우B,"10,200",상승310,+3.13%,"795,846",,KOSPI,00680K
대웅,"24,050",상승150,+0.63%,"74,695",,KOSPI,003090
한국카본,"26,750",하락550,-2.01%,"239,822",,KOSPI,017960
대신증권,"27,100",보합0,0.00%,"106,824",,KOSPI,003540
SNT다이내믹스,"41,200","하락1,150",-2.72%,"64,977",,KOSPI,003570
KODEX 26-12 금융채(AA-이상)액티브,"10,000",보합0,0.00%,"90,317",,KOSPI,0117L0
TIGER 코리아TOP10,"18,480",하락35,-0.19%,"771,730",,KOSPI,292150
RISE 미국S&P500,"21,700",하락110,-0.50%,"324,629",,KOSPI,379780
TIGER 미국30년국채커버드콜액티브(H),"7,870",하락35,-0.44%,"1,076,969",,KOSPI,476550
하이트진로,"18,910",상승100,+0.53%,"121,828",,KOSPI,000080
영풍,"68,400",하락100,-0.15%,"48,402",,KOSPI,000670
메리츠 KIS CD금리투자 ETN,"54,590",상승30,+0.05%,1,,KOSPI,610063
RISE CD금리액티브(합성),"105,260",보합0,0.00%,"2,014",,KOSPI,477080
STX엔진,"31,950",하락600,-1.84%,"487,476",,KOSPI,077970
RISE 미국나스닥100,"27,390",하락130,-0.47%,"440,599",,KOSPI,368590
HDC현대산업개발,"19,440",하락190,-0.97%,"162,798",,KOSPI,294870
한일시멘트,"17,370",하락180,-1.03%,"65,936",,KOSPI,300720
하나 CD금리투자 ETN,"105,380",보합0,0.00%,0,,KOSPI,700026
현대지에프홀딩스,"8,010",하락10,-0.12%,"77,429",,KOSPI,005440
오리온홀딩스,"19,880",하락370,-1.83%,"85,200",,KOSPI,001800
SK케미칼,"71,500",상승200,+0.28%,"48,733",,KOSPI,285130
KODEX 코스닥150,"16,135",상승235,+1.48%,"18,135,345",,KOSPI,229200
지역난방공사,"105,600","하락2,300",-2.13%,"20,611",,KOSPI,071320
LX인터내셔널,"31,300",하락250,-0.79%,"80,249",,KOSPI,001120
종근당,"87,700",상승200,+0.23%,"32,299",,KOSPI,185750
ACE 테슬라밸류체인액티브,"20,915",하락230,-1.09%,"2,038,115",,KOSPI,457480
KIWOOM 200TR,"72,470",하락195,-0.27%,"161,553",,KOSPI,294400
가온전선,"72,500","하락2,200",-2.95%,"48,496",,KOSPI,000500
RISE 단기특수은행채액티브,"50,540",하락5,-0.01%,"5,576",,KOSPI,0061Z0
KB발해인프라,"9,720",하락30,-0.31%,"215,920",,KOSPI,415640
KODEX Top5PlusTR,"38,865",상승170,+0.44%,"94,556",,KOSPI,315930
삼성화재우,"379,500","상승9,500",+2.57%,"14,570",,KOSPI,000815
롯데리츠,"4,050",하락25,-0.61%,"157,250",,KOSPI,330590
더블유게임즈,"54,200","상승1,500",+2.85%,"57,979",,KOSPI,192080
롯데정밀화학,"45,050",하락600,-1.31%,"44,639",,KOSPI,004000
롯데렌탈,"31,750",하락350,-1.09%,"20,520",,KOSPI,089860
TIGER 2차전지테마,"18,890",상승255,+1.37%,"724,452",,KOSPI,305540
에스디바이오센서,"9,300",하락170,-1.80%,"55,518",,KOSPI,137310
NHN,"33,350",상승400,+1.21%,"63,667",,KOSPI,181710
SK오션플랜트,"18,020",하락530,-2.86%,"676,971",,KOSPI,100090
TIGER 차이나항셍테크,"9,195",상승65,+0.71%,"1,052,942",,KOSPI,371160
코오롱인더,"40,600",하락200,-0.49%,"237,100",,KOSPI,120110
롯데칠성,"120,400",상승700,+0.58%,"14,211",,KOSPI,005300
롯데웰푸드,"119,600","하락1,300",-1.08%,"10,533",,KOSPI,280360
동양생명,"6,830",상승60,+0.89%,"123,098",,KOSPI,082640
PLUS K방산,"46,800","하락1,310",-2.72%,"1,183,505",,KOSPI,449450
한샘,"46,050",상승600,+1.32%,"37,460",,KOSPI,009240
SK디스커버리,"59,000",하락900,-1.50%,"19,576",,KOSPI,006120
TIGER 단기통안채,"110,545",보합0,0.00%,"8,017",,KOSPI,157450
엠앤씨솔루션,"118,000","하락3,600",-2.96%,"22,495",,KOSPI,484870
ESR켄달스퀘어리츠,"4,375",하락20,-0.46%,"215,125",,KOSPI,365550
TIGER 25-12 금융채(AA-이상),"51,850",하락5,-0.01%,"1,740",,KOSPI,494900
명인제약,"72,900","하락2,500",-3.32%,"96,041",,KOSPI,317450
LS에코에너지,"34,600",하락800,-2.26%,"101,332",,KOSPI,229640
쿠쿠홀딩스,"29,700","상승1,050",+3.66%,"128,421",,KOSPI,192400
교보증권,"9,190",상승50,+0.55%,"81,776",,KOSPI,030610
SK네트웍스,"4,695",상승125,+2.74%,"298,044",,KOSPI,001740
TIGER 리츠부동산인프라,"4,425",보합0,0.00%,"2,742,133",,KOSPI,329200
TIMEFOLIO 글로벌AI인공지능액티브,"35,070",하락85,-0.24%,"235,063",,KOSPI,456600
HDC,"17,320",하락110,-0.63%,"74,932",,KOSPI,012630
TIMEFOLIO 미국나스닥100액티브,"35,090",하락220,-0.62%,"473,499",,KOSPI,426030
ACE 미국빅테크TOP7 Plus,"23,325",하락255,-1.08%,"1,643,739",,KOSPI,465580
한화투자증권,"4,740",하락160,-3.27%,"2,097,090",,KOSPI,003530
TIGER 종합채권(AA-이상)액티브,"54,900",하락85,-0.15%,"15,380",,KOSPI,451540
TIGER 미국나스닥100타겟데일리커버드콜,"10,765",하락85,-0.78%,"718,475",,KOSPI,486290
PLUS 200,"56,565",하락100,-0.18%,"288,785",,KOSPI,152100
SOL 종합채권(AA-이상)액티브,"112,500",하락195,-0.17%,98,,KOSPI,436140
NICE평가정보,"16,850",하락350,-2.03%,"93,653",,KOSPI,030190
CJ CGV,"6,030",상승310,+5.42%,"1,881,071",,KOSPI,079160
SOL 초단기채권액티브,"53,905",보합0,0.00%,"255,507",,KOSPI,469830
1Q 머니마켓액티브,"52,485",하락5,-0.01%,"62,532",,KOSPI,479080
세진중공업,"17,380",하락230,-1.31%,"415,576",,KOSPI,075580
세아베스틸지주,"27,550",하락350,-1.25%,"47,962",,KOSPI,001430
파미셀,"16,300",하락810,-4.73%,"2,156,702",,KOSPI,005690
키움 CD금리투자 ETN,"105,070",상승5,0.00%,6,,KOSPI,760009
KODEX AI전력핵심설비,"22,010",하락975,-4.24%,"3,160,839",,KOSPI,487240
HANARO Fn K-반도체,"19,025",상승125,+0.66%,"1,452,679",,KOSPI,395270
GS피앤엘,"48,100","상승2,250",+4.91%,"237,495",,KOSPI,499790
효성티앤씨,"220,000","하락1,500",-0.68%,"5,599",,KOSPI,298020
KODEX MSCI Korea TR,"18,985",하락45,-0.24%,"18,542",,KOSPI,278540
세방전지,"66,300",하락600,-0.90%,"59,970",,KOSPI,004490
GKL,"14,970",상승460,+3.17%,"274,469",,KOSPI,114090
대한유화,"140,800","하락1,200",-0.85%,"27,275",,KOSPI,006650
KODEX 미국배당커버드콜액티브,"12,920",상승40,+0.31%,"1,313,301",,KOSPI,441640
KODEX 미국30년국채타겟커버드콜(합성 H),"8,535",하락35,-0.41%,"567,076",,KOSPI,481060
TIGER KRX금현물,"13,465",상승175,+1.32%,"1,643,549",,KOSPI,0072R0
SNT홀딩스,"55,000",보합0,0.00%,"20,657",,KOSPI,036530
해성디에스,"52,700","상승3,850",+7.88%,"707,803",,KOSPI,195870
태광산업,"804,000","하락3,000",-0.37%,679,,KOSPI,003240
후성,"8,290",하락90,-1.07%,"1,396,529",,KOSPI,093370
TIGER 미국배당다우존스타겟커버드콜2호,"9,930",상승45,+0.46%,"449,529",,KOSPI,458760
HS효성첨단소재,"193,700","하락3,200",-1.63%,"9,932",,KOSPI,298050
일동제약,"27,350","하락2,000",-6.81%,"1,761,839",,KOSPI,249420
코리아써키트,"36,150","상승4,900",+15.68%,"2,006,252",,KOSPI,007810
TIGER 단기채권액티브,"55,950",상승5,+0.01%,"21,323",,KOSPI,272580
경동나비엔,"58,100","하락1,100",-1.86%,"43,872",,KOSPI,009450
KODEX 인버스,"2,675",상승5,+0.19%,"53,846,529",,KOSPI,114800
LX세미콘,"51,800",보합0,0.00%,"51,218",,KOSPI,108320
케이씨텍,"40,650",상승800,+2.01%,"107,714",,KOSPI,281820
TIGER 미국30년국채스트립액티브(합성 H),"39,460",하락475,-1.19%,"148,491",,KOSPI,458250
ACE 종합채권(AA-이상)액티브,"104,910",하락185,-0.18%,"1,378",,KOSPI,356540
KODEX 26-12 회사채(AA-이상)액티브,"10,875",하락5,-0.05%,"72,000",,KOSPI,473290
아세아,"396,500","상승1,000",+0.25%,"1,560",,KOSPI,002030
DL,"39,000",하락150,-0.38%,"47,108",,KOSPI,000210
LG전자우,"47,500",상승650,+1.39%,"130,678",,KOSPI,066575
SNT모티브,"30,600",하락500,-1.61%,"77,213",,KOSPI,064960
SNT에너지,"39,200","상승1,150",+3.02%,"143,466",,KOSPI,100840
프레스티지바이오파마,"13,400",상승300,+2.29%,"169,839",,KOSPI,950210
솔루엠,"16,840",하락110,-0.65%,"98,385",,KOSPI,248070
TIGER 미국필라델피아AI반도체나스닥,"15,525",하락150,-0.96%,"514,246",,KOSPI,497570
케이카,"16,350",상승150,+0.93%,"60,801",,KOSPI,381970
TIGER 은행고배당플러스TOP10,"21,225",상승310,+1.48%,"611,126",,KOSPI,466940
TIGER 우량회사채액티브,"115,185",하락220,-0.19%,"20,229",,KOSPI,438330
동원시스템즈,"27,450",하락400,-1.44%,"12,387",,KOSPI,014820
