code,name,market,date,open,high,low,close,prev_close,change_pct,volume,avg_20d_volume,vol_sigma
285130,SK케미칼,KOSPI,2025-11-18,76400.0,79500.0,74450.0,74800.0,74800.0,0.0,84882.0,84882.0,0.2342308608129542
060370,LS마린솔루션,KOSDAQ,2025-11-18,26200.0,26250.0,25150.0,25400.0,25400.0,0.0,249317.0,249317.0,-0.7298711707922462
023790,동일스틸럭스,KOSDAQ,2025-11-18,1989.0,2145.0,1791.0,1841.0,1841.0,0.0,3414758.0,3414758.0,0.632761994770091
124500,아이티센글로벌,KOSDAQ,2025-11-18,19810.0,20400.0,19300.0,19890.0,19890.0,0.0,313675.0,313675.0,-1.9654485583372512
178320,서진시스템,KOSDAQ,2025-11-18,23300.0,23450.0,22500.0,22600.0,22600.0,0.0,275389.0,275389.0,-0.5427311975409821
336370,솔루스첨단소재,KOSPI,2025-11-18,10400.0,10430.0,9520.0,9520.0,9520.0,0.0,651692.0,651692.0,0.874682230874042
241690,유니테크노,KOSDAQ,2025-11-18,3845.0,3970.0,3660.0,3700.0,3700.0,0.0,1674582.0,1674582.0,1.5851549880062075
376300,디어유,KOSDAQ,2025-11-18,32500.0,33600.0,31600.0,31650.0,31650.0,0.0,194162.0,194162.0,0.39792106784426523
361610,SK아이이테크놀로지,KOSPI,2025-11-18,31500.0,31600.0,29500.0,29500.0,29500.0,0.0,207864.0,207864.0,0.32874940572385725
058610,에스피지,KOSDAQ,2025-11-18,30350.0,30850.0,29350.0,30250.0,30250.0,0.0,202598.0,202598.0,-0.940358435041202
204320,HL만도,KOSPI,2025-11-18,36700.0,36850.0,35800.0,35850.0,35850.0,0.0,170003.0,170003.0,-0.18507215849991626
126340,비나텍,KOSDAQ,2025-11-18,52300.0,52700.0,49700.0,50500.0,50500.0,0.0,120071.0,120071.0,-0.5236093724586778
094170,동운아나텍,KOSDAQ,2025-11-18,20950.0,22300.0,20500.0,21350.0,21350.0,0.0,282724.0,282724.0,1.3458651518812028
248070,솔루엠,KOSPI,2025-11-18,18510.0,18680.0,17750.0,18040.0,18040.0,0.0,332372.0,332372.0,0.8409516676517548
060250,NHN KCP,KOSDAQ,2025-11-18,16040.0,16400.0,15500.0,15750.0,15750.0,0.0,380684.0,380684.0,-0.9283089303832408
074600,원익QnC,KOSDAQ,2025-11-18,21100.0,21300.0,20050.0,20150.0,20150.0,0.0,297235.0,297235.0,-0.0020867722146343565
089890,코세스,KOSDAQ,2025-11-18,29850.0,29850.0,26900.0,28400.0,28400.0,0.0,210265.0,210265.0,-0.42643547426943984
278280,천보,KOSDAQ,2025-11-18,62000.0,62500.0,56600.0,57000.0,57000.0,0.0,104728.0,104728.0,0.5326679354242814
102940,코오롱생명과학,KOSDAQ,2025-11-18,39200.0,41500.0,38350.0,40600.0,40600.0,0.0,146224.0,146224.0,1.7716778123335248
001530,DI동일,KOSPI,2025-11-18,16010.0,16540.0,15790.0,15910.0,15910.0,0.0,370425.0,370425.0,1.1303536702456507
036930,주성엔지니어링,KOSDAQ,2025-11-18,29950.0,29950.0,29000.0,29100.0,29100.0,0.0,201715.0,201715.0,-1.3089071966042898
484870,엠앤씨솔루션,KOSPI,2025-11-18,160700.0,163500.0,151400.0,153300.0,153300.0,0.0,38242.0,38242.0,1.4159402428235717
007815,코리아써우,KOSPI,2025-11-18,11010.0,12250.0,9540.0,10310.0,10310.0,0.0,567875.0,567875.0,1.7036174519458842
065350,신성델타테크,KOSDAQ,2025-11-18,54200.0,54400.0,52500.0,52600.0,52600.0,0.0,109064.0,109064.0,-0.29039478891853615
001720,신영증권,KOSPI,2025-11-18,152000.0,152600.0,143100.0,143400.0,143400.0,0.0,39764.0,39764.0,0.5317403336247636
452450,피아이이,KOSDAQ,2025-11-18,8090.0,8110.0,7590.0,7660.0,7660.0,0.0,742747.0,742747.0,-0.33527913527770425
308430,셀비온,KOSDAQ,2025-11-18,19480.0,19690.0,19120.0,19230.0,19230.0,0.0,294286.0,294286.0,-0.023975052856220678
019170,신풍제약,KOSPI,2025-11-18,14510.0,14510.0,13950.0,13980.0,13980.0,0.0,400144.0,400144.0,-0.21358535801075265
011080,형지I&C,KOSDAQ,2025-11-18,706.0,819.0,706.0,712.0,712.0,0.0,7815856.0,7815856.0,0.9407113919263982
096530,씨젠,KOSDAQ,2025-11-18,26350.0,26350.0,25600.0,25600.0,25600.0,0.0,217285.0,217285.0,0.6736595322190005
460940,피앤에스로보틱스,KOSDAQ,2025-11-18,12090.0,12110.0,10460.0,10500.0,10500.0,0.0,529431.0,529431.0,0.33181536902224823
004800,효성,KOSPI,2025-11-18,139000.0,141000.0,133300.0,135300.0,135300.0,0.0,41044.0,41044.0,-0.4117317168803995
