종목명,현재가,전일비,등락률,거래량,거래대금,market,code,name,close,volume,trading_value,change_rate,change,trade_date,listed_shares_x,market_cap,stock_kind,sector_name,listed_shares_y,security_group,history_days,avg_trading_value,std_trading_value,avg_volume,std_volume,tv_ratio,tv_z,vol_ratio,vol_z,tv_z_rel,size_bucket,rank_overall,rank_in_bucket,is_top_bucket,pattern_label,signal_tone,signal_strength,market_tv_today,market_tv_mean,market_tv_std,market_tv_z,market_ret_today,market_ret_mean,market_ret_std,market_ret_z,market_regime,window_days,min_history_days
HB솔루션,"2,185",상승10,+0.46%,"198,142",,KOSDAQ,297890,HB솔루션,2185,198142,432940270,0.46,10,2025-12-03,73140914.0,159812897090.0,보통주,우량기업부,73140914.0,주권,54,1429764853.0,957224864.8041265,549376.7962962963,333030.11945866974,0.3028052263920073,-1.0413692953995473,0.3606668525787823,-1.0546637549396964,-0.4487504856417103,small,1492.0,1158.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
녹십자홀딩스,"16,480",상승140,+0.86%,"40,941",,KOSPI,005250,녹십자홀딩스,16480,40941,674707680,0.86,140,2025-12-03,47028210.0,775024900800.0,보통주,-,47028210.0,주권,54,1327963774.074074,624783136.938111,82962.62962962964,37329.08153032931,0.5080768716529497,-1.045572544219905,0.49348725061841764,-1.1257075691907312,-0.4529537344620681,small,1493.0,1159.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
에이치피오,"2,420",상승40,+1.68%,"19,629",,KOSDAQ,357230,에이치피오,2420,19629,47502180,1.68,40,2025-12-03,41293476.0,99930211920.0,보통주,우량기업부,41293476.0,주권,54,188953309.2222222,134907166.44234142,72625.61111111111,49796.29560838446,0.2513963909683854,-1.0485071546045528,0.27027655533210276,-1.0642681441184914,-0.4558883448467158,small,1494.0,1160.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
삼양식품,"1,334,000","상승2,000",+0.15%,"26,440",,KOSPI,003230,삼양식품,1334000,26440,35270960000,0.15,2000,2025-12-03,7533015.0,10049042010000.0,보통주,-,7533015.0,주권,54,77771165326.38889,40492652615.79871,56233.944444444445,29892.818498584376,0.4535223286416675,-1.049578197053134,0.47017864852288704,-0.9966923810096858,-0.45695938729529695,large,1495.0,68.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
LS증권,"4,860",상승50,+1.04%,"45,681",,KOSDAQ,078020,LS증권,4860,45681,222009660,1.04,50,2025-12-03,55481190.0,269638583400.0,보통주,우량기업부,55481190.0,주권,54,656044299.1481482,412088734.8916383,123881.66666666667,73674.05207846503,0.3384065074390132,-1.0532552879958748,0.36874705700332305,-1.0614410971094772,-0.46063647823803777,small,1496.0,1161.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
그래디언트,"12,150",상승170,+1.42%,"9,606",,KOSDAQ,035080,그래디언트,12150,9606,116712900,1.42,170,2025-12-03,13676598.0,166170665700.0,보통주,중견기업부,13676598.0,주권,54,232979541.1111111,110353856.24086984,17124.222222222223,7280.70937780277,0.5009577211946608,-1.053580228835279,0.5609597840615632,-1.03262221194319,-0.4609614190774419,small,1497.0,1162.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
한국주철관,"7,220",하락20,-0.28%,"14,912",,KOSPI,000970,한국주철관,7220,14912,107664640,-0.28,20,2025-12-03,22800500.0,164619610000.0,보통주,-,22800500.0,주권,54,254007319.16666666,138755030.15638664,36639.444444444445,19811.731726111717,0.4238643215212076,-1.0546837761609666,0.40699307061303086,-1.0966958741828627,-0.46206496640312966,small,1498.0,1163.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
동국산업,"2,920",상승5,+0.17%,"49,644",,KOSDAQ,005160,동국산업,2920,49644,144960480,0.17,5,2025-12-03,54244482.0,158393887440.0,보통주,중견기업부,54244482.0,주권,54,351893110.2592593,195461011.45448518,116413.05555555556,64358.10395245767,0.4119446382260782,-1.0586900616108055,0.4264470145816978,-1.0374615076429055,-0.4660712518529685,small,1499.0,1164.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
BGF리테일,"112,000",상승800,+0.72%,"27,802",,KOSPI,282330,BGF리테일,112000,27802,3113824000,0.72,800,2025-12-03,17283906.0,1935797472000.0,보통주,-,17283906.0,주권,54,5158985700.777778,1917926066.0783386,47989.25925925926,18173.740288736928,0.6035729076610068,-1.0663402187132285,0.5793379691443301,-1.11079276684559,-0.4737214089553915,small,1500.0,1165.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
HDC,"17,910",상승200,+1.13%,"74,670",,KOSPI,012630,HDC,17910,74670,1337339700,1.13,200,2025-12-03,59741721.0,1069974223110.0,보통주,-,59741721.0,주권,54,3126962835.3703704,1677909785.618557,172444.16666666666,84938.38428603785,0.4276800750148986,-1.0665788773087288,0.4330097181213243,-1.1511187490617096,-0.4739600675508918,small,1501.0,1166.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
