code,name,sector
089860,롯데렌탈,소비/레저
381970,케이카,소비/레저
330730,스톤브릿지벤처스,금융/SPAC·벤처
309960,LB인베스트먼트,금융/SPAC·벤처
026890,스틱인베스트먼트,금융/SPAC·벤처
277070,린드먼아시아,금융/SPAC·벤처
307930,컴퍼니케이,금융/SPAC·벤처
027830,대성창투,금융/SPAC·벤처
016600,큐캐피탈,금융/SPAC·벤처
452300,캡스톤파트너스,금융/SPAC·벤처
293580,나우IB,금융/SPAC·벤처
246690,TS인베스트먼트,금융/SPAC·벤처
440290,HB인베스트먼트,금융/SPAC·벤처
027360,아주IB투자,금융/SPAC·벤처
019550,SBI인베스트먼트,금융/SPAC·벤처
075130,플랜티넷,금융/SPAC·벤처
100790,미래에셋벤처투자,금융/SPAC·벤처
021080,에이티넘인베스트,금융/SPAC·벤처
041190,우리기술투자,금융/SPAC·벤처
241520,DSC인베스트먼트,금융/SPAC·벤처
019570,플루토스,금융/SPAC·벤처
054300,팬스타엔터프라이즈,AI/반도체
124500,아이티센글로벌,AI/반도체
317770,엑스페릭스,AI/반도체
389140,포바이포,AI/반도체
096250,와이즈넛,AI/반도체
069140,누리플랜,친환경/자원순환
079190,케스피온,친환경/자원순환
065510,휴비츠,친환경/자원순환
131030,옵투스제약,친환경/자원순환
021240,코웨이,친환경/자원순환
037070,파세코,친환경/자원순환
044340,위닉스,친환경/자원순환
068100,케이웨더,친환경/자원순환
066130,하츠,친환경/자원순환
352700,씨앤투스,친환경/자원순환
071840,롯데하이마트,친환경/자원순환
089980,상아프론테크,친환경/자원순환
080470,성창오토텍,친환경/자원순환
383310,에코프로에이치엔,친환경/자원순환
022100,포스코DX,친환경/자원순환
188260,세니젠,제약/바이오
005250,녹십자홀딩스,제약/바이오
002870,신풍,친환경/자원순환
009770,삼정펄프,친환경/자원순환
213500,한솔제지,친환경/자원순환
002310,아세아제지,친환경/자원순환
009460,한창제지,친환경/자원순환
034810,해성산업,친환경/자원순환
009200,무림페이퍼,친환경/자원순환
002200,한국수출포장공업,친환경/자원순환
001810,무림SP,친환경/자원순환
078130,국일제지,친환경/자원순환
001020,페이퍼코리아,친환경/자원순환
009580,무림P&P,친환경/자원순환
027970,한국제지,친환경/자원순환
057050,현대홈쇼핑,소비/유통
007070,GS리테일,소비/유통
023530,롯데쇼핑,소비/유통
003240,태광산업,소비/유통
035760,CJ ENM,소비/유통
338100,NH프라임리츠,부동산/리츠
365550,ESR켄달스퀘어리츠,부동산/리츠
348950,제이알글로벌리츠,부동산/리츠
396690,미래에셋글로벌리츠,부동산/리츠
432320,KB스타리츠,부동산/리츠
377190,디앤디플랫폼리츠,부동산/리츠
350520,이지스레지던스리츠,부동산/리츠
357430,마스턴프리미어리츠,부동산/리츠
293940,신한알파리츠,부동산/리츠
357250,미래에셋맵스리츠,부동산/리츠
145270,케이탑리츠,부동산/리츠
357120,코람코라이프인프라리츠,부동산/리츠
000030,대신밸류리츠,부동산/리츠
448730,삼성FN리츠,부동산/리츠
451800,한화리츠,부동산/리츠
088260,이리츠코크렙,부동산/리츠
404990,신한서부티엔디리츠,부동산/리츠
400760,NH올원리츠,부동산/리츠
395400,SK리츠,부동산/리츠
481850,신한글로벌액티브리츠,부동산/리츠
330590,롯데리츠,부동산/리츠
334890,이지스밸류플러스리츠,부동산/리츠
417310,코람코더원리츠,부동산/리츠
016590,신대양제지,친환경/자원순환
017650,대림제지,친환경/자원순환
006740,블루산업개발,친환경/자원순환
011280,태림포장,친환경/자원순환
016100,리더스코스메틱,친환경/자원순환
014160,대영포장,친환경/자원순환
023600,삼보판지,친환경/자원순환
123750,알톤,소비/레저
024950,삼천리자전거,소비/레저
065450,빅텍,소비/레저
069640,한세엠케이,소비/레저
070960,모나용평,소비/레저
100120,뷰웍스,소비/레저
215000,골프존,소비/레저
019010,베뉴지,소비/레저
121440,골프존홀딩스,소비/레저
122450,KX,소비/레저
308100,형지글로벌,소비/레저
111710,남화산업,소비/레저
081660,미스토홀딩스,소비/레저
110790,크리스에프앤씨,소비/레저
300120,라온피플,소비/레저
365900,브이씨,소비/레저
011080,형지I&C,소비/유통
090370,메타랩스,소비/유통
008290,원풍물산,소비/유통
306040,에스제이그룹,소비/유통
366030,공구우먼,소비/유통
007980,TP,소비/유통
005800,신영와코루,소비/유통
020000,한섬,소비/유통
225590,패션플랫폼,소비/유통
194370,제이에스코퍼레이션,소비/유통
105630,한세실업,소비/유통
111380,동인기연,소비/유통
098660,에스티오,소비/유통
462310,뉴키즈온,소비/유통
008600,윌비스,소비/유통
004060,SG세계물산,소비/유통
478560,블랙야크아이앤씨,소비/유통
298540,더네이쳐홀딩스,소비/유통
036620,감성코퍼레이션,소비/유통
337930,젝시믹스,소비/유통
064800,포니링크,소비/유통
111770,영원무역,소비/유통
016090,대현,소비/유통
088790,진도,소비/유통
093050,LF,소비/유통
145170,노브랜드,소비/유통
006060,화승인더스트리,소비/유통
215480,토박스코리아,소비/유통
900110,이스트아시아홀딩스,소비/유통
241590,화승엔터프라이즈,소비/유통
383220,F&F,소비/유통
111110,호전실업,소비/유통
