code,name,abbr,name_eng,isin,market,market_type,security_group,sector_name,stock_kind,par_value,listed_shares,list_date,isu_cd,short_code,source_market
272290,이녹스첨단소재,이녹스첨단소재,"INNOX Advanced Materials Co., Ltd.",KR7272290008,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,20227658,2017-07-10,KR7272290008,272290,KOSDAQ
053350,이니텍,이니텍,"INITECH Co., Ltd.",KR7053350005,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,19790916,2001-11-15,KR7053350005,053350,KOSDAQ
452400,이닉스,이닉스,INICS Corporation,KR7452400005,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,9071428,2024-02-01,KR7452400005,452400,KOSDAQ
264850,이랜시스,이랜시스,"Elensys Co.,Ltd.",KR7264850009,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,100.0,30294612,2017-06-01,KR7264850009,264850,KOSDAQ
054210,이랜텍,이랜텍,"Elentec Co., Ltd",KR7054210000,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,25291210,2002-05-09,KR7054210000,054210,KOSDAQ
009730,이렘,이렘,"IREM Co.,Ltd.",KR7009730003,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,30556774,1990-07-27,KR7009730003,009730,KOSDAQ
164060,이루다,이루다,"ILOODA Co.,Ltd",KR7164060006,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,21200934,2020-08-06,KR7164060006,164060,KOSDAQ
065440,이루온,이루온,ELUON Corporation,KR7065440000,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,27275020,2003-01-28,KR7065440000,065440,KOSDAQ
115610,이미지스테크놀로지,이미지스,"IMAGIS Co., Ltd.",KR7115610008,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,15743995,2010-02-26,KR7115610008,115610,KOSDAQ
478110,이베스트기업인수목적6호,이베스트스팩6호,Ebest Special Purpose Acquisition No6 Company,KR7478110000,KOSDAQ,KOSDAQ,주권,SPAC(소속부없음),보통주,100.0,5020000,2024-07-12,KR7478110000,478110,KOSDAQ
131400,이브이첨단소재,이브이첨단소재,EV ADVANCED MATERIAL,KR7131400004,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,59589882,2010-12-27,KR7131400004,131400,KOSDAQ
351330,이삭엔지니어링,이삭엔지니어링,"ISAAC Engineering Co., Ltd.",KR7351330006,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,8288520,2021-04-21,KR7351330006,351330,KOSDAQ
080010,이상네트웍스,이상네트웍스,"eSANG Networks Co.,Ltd",KR7080010002,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,9835071,2005-09-30,KR7080010002,080010,KOSDAQ
086890,이수앱지스,이수앱지스,"ISU Abxis Co., Ltd.",KR7086890001,KOSDAQ,KOSDAQ,주권,기술성장기업부,보통주,500.0,35731660,2009-02-03,KR7086890001,086890,KOSDAQ
047560,이스트소프트,이스트소프트,ESTsoft Corp.,KR7047560008,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,11603992,2008-07-01,KR7047560008,047560,KOSDAQ
